source_row,reynolds_number,source_nusselt_number,perturbation_factor,nusselt_number
1,126888.931780001,209.09800000437099,1.0882026172983832,227.54099087661385
2,132790.88756166401,212.190043011038,1.0200078604183611,216.43551177376889
3,137471.201040243,216.91405032527101,1.048936899205287,227.52915134224935
4,142316.47564424199,224.19798665041299,1.1120446599600728,249.31817382839145
5,148292.53215994101,229.18932796758199,1.0933778995074983,250.59054600272992
6,154854.417039483,232.57847209488199,0.95113610600617948,221.21378228919292
7,162408.34690877801,237.756388964677,1.0475044208762794,249.05086853207939
8,169228.087598354,243.94316799151301,0.99243213958511511,242.09704014698843
9,175572.34741858899,248.460618497447,0.99483905741032208,247.17832750958581
10,183738.703746215,254.92593768490801,1.0205299250969186,260.15954809084093
11,191869.06745595799,259.646772113895,1.0072021785580438,261.51679452867899
12,200359.196488438,267.38261835641299,1.0727136753481488,286.82499126131916
13,207421.00520966199,273.33538327832201,1.0380518862573496,283.73631019293776
14,215197.09467506901,277.37733853529602,1.0060837508246414,279.06483314734697
15,224719.47952548601,281.47906432802603,1.0221931616372713,287.72597470016581
16,236192.27233889,287.74565978095097,1.0166837163687132,292.54632675506463
17,245578.062887926,296.31867674124197,1.0747039536578804,318.45485343648414
18,254233.644147174,300.70049814624701,0.98974208681170994,297.61593854058725
19,263764.71145642002,307.39502222701299,1.0156533850825451,312.20679488238994
20,272470.77634311601,309.65948808388202,0.95729521303491372,296.43554561354216
21,282074.21126590198,316.55346701838698,0.87235050920829604,276.14557814514143
22,294555.88161608699,324.790664593391,1.0326809297720181,335.4051254935747
23,305598.60549881699,329.59351638090698,1.0432218099429753,343.83914470435946
24,321200.588434859,336.93128850259899,0.96289174897967789,324.42835767224398
25,333242.20644498401,343.17073530589698,1.1134877311993803,382.11640346978629
26,343497.05895315,349.52572702217901,0.92728171627006173,324.10881603366727
27,354834.84431163501,354.69434929435101,1.0022879258650723,355.50586367029655
28,369734.82742143498,362.590943670819,0.99064080749870831,359.19738522977877
29,381112.666269604,367.95276822980497,1.076638960717923,396.15228598022003
30,394545.26530973299,374.766684900173,1.0734679384950143,402.30002065639934
31,408451.30628171598,381.70678477773401,1.0077473712848457,384.66400896135178
32,421933.03230908798,387.35128541592599,1.0189081259801087,394.67537231912735
33,433976.61954420799,393.07925427822499,0.9556107126184944,375.63074629636094
34,451221.94943534298,398.89192565352101,0.90096017658880367,359.38573977664424
35,467125.60224278399,406.27878770911002,0.98260439253369236,399.21132139623501
36,479420.12491701398,412.28664758470399,1.0078174484551989,415.50967720096418
37,484637.86176997301,426.13116196360301,1.0615145340363861,452.34442183017779
38,492038.23355412099,440.440572742884,1.0601189924392205,466.91941620553939
39,499551.608276885,461.96222573456203,0.98063365912960243,453.01570780173893
40,504988.444782053,475.72580430339599,0.98488486247123319,468.53514334536698
41,513810.72740723903,497.14385420775398,0.94757235174664534,471.07977108803283
42,522787.13765954698,517.62311308368305,0.92899910314105127,480.87140781982055
43,530770.04507937201,538.94599104603401,0.91468649046874939,492.96661710209889
44,536546.64535274799,565.28100493522902,1.0975387697615895,620.41781872620629
45,548289.13786043599,597.27054766470803,0.97451739091241729,582.05053577904187
46,556661.45827832306,617.32678944134204,0.97809628491944067,603.80503933382249
47,565161.62319346296,645.11997590284295,0.93736023199750362,604.7098102785128
48,575035.14727157005,674.16446269164999,1.0388745177915955,700.37228109101795
49,582553.32501584897,704.51658564789295,0.91930510762210238,647.66569559059235
50,595302.68821395398,738.942027856295,0.98936298598930161,731.08189115289372
51,605702.78472551401,769.38187932924404,0.95522667194031619,734.93409204285979
52,616284.57369301503,801.07566483593905,1.019345124892963,816.57257362090365
53,627051.22933205299,843.308476744009,0.97445974312155637,821.770161620198
54,627051.22933205299,843.308476744009,0.94096839079387939,793.52662030464785
55,638005.98131261603,878.04758185680998,0.99859088858306722,876.81031498460538
56,646347.45816351904,904.20789585400996,1.0214165935265209,923.57294882298606
57,656217.11934657395,934.57104074119104,1.0033258611191584,937.6792942286836
58,670578.63790993602,969.505159110264,1.015123594886989,984.16756237749348
59,680818.30678953498,1002.06097481361,0.96828389531595183,970.27950403662214
60,691214.33439104503,1035.7100091823199,0.98186294170064314,1016.9252763645528
61,707872.612869067,1074.4246862689499,0.96637697761120245,1038.2992809874522
62,720239.33594538295,1122.79726000957,0.98202234192297289,1102.6119947792949
63,734410.33387864998,1177.6615357039,0.95934268589777727,1129.7809807406804
64,747240.67800886196,1230.68202211431,0.91368586988341616,1124.4567739253951
65,760295.17166816595,1286.0895882534601,1.0088713071126876,1297.4988839652865
66,771904.80306487205,1353.89239647977,0.97991095318958688,1326.6939887506255
67,788798.18306294899,1430.5098633505499,0.91849008265169774,1313.9091226229154
